Today's date is: 8/1/2016	The time is: 1:47



Great Value Cinnamon Applesauce, 48 oz	   $2.08   4.3¢ / oz     
Mott's Original Applesauce, 4 oz, 6 count	   $2.08   8.7¢ / oz     
Mott's Mango Peach Applesauce, 4 oz, 6 count	   $2.08   8.7¢ / oz     
Mott's Natural Apple Sauce No Sugar Added 3.9 oz, 6 pk (Pack of 4)	   $8.32       
Mott's Strawberry Applesauce, 4 oz, 6 count	   $2.08   8.7¢ / oz     
Motts Cinnamon Apple Sauce, 6 ct, 24 oz (Pack of 4)	   $8.32       
Mott's Original Applesauce, 4 oz, 18 count	   $5.78   8.0¢ / oz     
Musselman's® Original Apple Sauce 6-4 oz. Cups	   $2.23   9.3¢ / oz     
Musselman's® Cinnamon Apple Sauce 6-4 oz. Cups	   $2.23   9.3¢ / oz     
Musselman's® Unsweetened Apple Sauce 46 oz. Plastic Jar	   $3.47   7.5¢ / oz     
Almond Joy Coconut & Almonds Chocolate Candy, 1.25 lb	   $5.89   29.3¢ / oz  Out of stock      
Almond Joy Snack Size Candy Bars, .6 oz, 12 count	   $2.06   28.6¢ / oz  Out of stock      
Heinz Apple Cider Vinegar, 32 oz	   $2.24   7.0¢ / fl oz     
Bragg - Organic Apple Cider Vinegar with Mother - 16 oz.	   $2.49       
Heinz Unfiltered All Natural Apple Cider Vinegar, 32 fl oz (Pack of 2)	   $8.92       
Mott's 100% Original Apple Juice, 1 gal	   $4.48   3.5¢ / fl oz     
Great Value: 100% Apple Juice, 64 Oz	   $2.48   3.9¢ / fl oz     
Apple & Eve® Fruitables® Fruits & Vegetables Apple Harvest Juice Beverage 8 ct Pack	   $2.97   5.5¢ / fl oz     
Capri Sun 100% Apple Juice, 6 fl oz, 10 count	   $2.98   5.0¢ / fl oz     
Martinelli's Gold Medal, 100% Apple Juice, 10 fl oz, (Pack of 9)	   $19.24   21.4¢ / fl oz     
Apple & Eve: Apple 100% Juice, 128 Fl Oz	   $4.48   3.5¢ / fl oz     
Apple & Eve Organics Apple Juice, 6.75 fl oz, 3ct (Pack of 9)	   $22.98   14.2¢ / fl oz     
Apple & Eve® Apple 100% Juice 8-6.75 fl. oz. Aseptic Packs	   $2.97   5.5¢ / fl oz     
Great Value 100% Apple Juice, 96 Fl Oz	   $2.48   2.6¢ / fl oz  Out of stock      
Great Value 100% Apple Juice, 6 Ct/60 Oz	   $2.98   5.0¢ / fl oz  Out of stock      
Apple & Eve® 100% Juice Sesame Street Big Bird's Apple 8-4.23 fl. oz. Boxes	   $2.08   6.2¢ / fl oz  Out of stock      
Apple & Eve® 100% Juice Sesame Street Elmo's Punch 8-4.23 fl. oz. Boxes	   $2.08   6.2¢ / fl oz  Out of stock      
Tree Top Fresh Pressed 3 Apple Blend 100% Pure Juice, 64 fl oz	   $2.68   4.2¢ / fl oz  Out of stock      
Old Orchard® 100% Juice Apple 64 fl. oz. Bottle	   $2.13   3.3¢ / fl oz  Out of stock      
Apple & Eve® Fruitables® Fruits & Vegetables Berry Berry Juice Beverage 8 ct Pack	   $2.97   5.5¢ / fl oz  Out of stock      
